,age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
1245,45.0,admin.,1.0,secondary,1136.7502401536983,yes,no,38.0,1,-1,unknown,no
1250,33.0,management,0.0,secondary,1897.0,yes,yes,197.0,1,-1,unknown,no
1260,33.0,services,1.0,secondary,-56.0,no,yes,119.0,5,-1,unknown,no
1261,30.0,blue-collar,2.0,primary,1.0,yes,yes,80.0,2,-1,unknown,no
1262,43.0,blue-collar,2.0,primary,-98.0,yes,yes,112.0,2,330,other,no
1287,31.0,management,2.0,tertiary,263.0,yes,no,280.0,4,-1,unknown,no
1295,41.61746987951807,management,1.0,tertiary,172.0,no,no,67.0,2,-1,unknown,no
1302,46.0,blue-collar,2.0,secondary,494.0,yes,no,724.0,1,-1,unknown,yes
1312,80.0,retired,2.0,secondary,834.0,no,no,264.7240200546946,1,64,failure,no
1334,32.0,management,1.0,tertiary,311.0,no,no,757.0,2,-1,unknown,yes
1341,31.0,services,2.0,secondary,413.0,yes,no,65.0,1,-1,unknown,no
1343,47.0,technician,2.0,secondary,1233.0,yes,no,91.0,1,100,other,no
1346,41.61746987951807,admin.,2.0,secondary,1499.0,yes,no,186.0,1,327,failure,no
1347,29.0,self-employed,2.0,tertiary,751.0,yes,no,121.0,2,-1,unknown,no
1358,41.0,technician,2.0,secondary,1136.7502401536983,no,no,101.0,1,-1,unknown,no
1364,41.61746987951807,management,2.0,tertiary,196.0,yes,no,68.0,3,-1,unknown,no
1366,36.0,management,2.0,tertiary,-296.0,yes,no,113.0,3,-1,unknown,no
1373,56.0,blue-collar,2.0,primary,379.0,no,no,58.0,5,-1,unknown,no
1382,41.61746987951807,admin.,2.0,secondary,299.0,yes,no,209.0,1,321,failure,no
1406,44.0,admin.,1.0,secondary,2524.0,no,no,82.0,1,-1,unknown,no
1435,64.0,retired,2.0,secondary,1574.0,no,no,301.0,3,-1,unknown,no
1441,49.0,unknown,2.0,unknown,31.0,no,no,789.0,2,-1,unknown,yes
1447,45.0,admin.,2.0,secondary,638.0,yes,no,75.0,9,-1,unknown,no
1451,29.0,services,2.0,secondary,3748.0,no,no,264.7240200546946,3,-1,unknown,no
1489,27.0,unknown,1.0,tertiary,6421.0,no,no,147.0,4,-1,unknown,no
1498,51.0,blue-collar,0.0,primary,837.0,no,no,41.0,2,-1,unknown,no
1500,30.0,services,2.0,secondary,1743.0,yes,no,192.0,4,-1,unknown,no
1514,32.0,technician,2.0,secondary,167.0,yes,yes,79.0,3,-1,unknown,no
1517,41.61746987951807,unknown,2.0,unknown,13.0,no,no,264.7240200546946,1,-1,unknown,no
1523,41.61746987951807,technician,1.0,secondary,2178.0,yes,no,41.0,1,-1,unknown,no
1545,56.0,admin.,2.0,secondary,1136.7502401536983,yes,no,154.0,2,-1,unknown,no
1555,41.61746987951807,entrepreneur,2.0,tertiary,412.0,yes,yes,164.0,1,-1,unknown,no
1560,52.0,management,2.0,tertiary,1339.0,yes,no,343.0,5,-1,unknown,no
1563,55.0,entrepreneur,2.0,secondary,24.0,yes,no,455.0,13,-1,unknown,yes
1565,45.0,unemployed,0.0,secondary,728.0,yes,yes,107.0,1,-1,unknown,no
1585,42.0,blue-collar,2.0,secondary,5639.0,yes,no,430.0,2,-1,unknown,no
1597,41.61746987951807,self-employed,1.0,tertiary,876.0,yes,no,264.7240200546946,2,-1,unknown,no
1604,49.0,management,1.0,tertiary,151.0,yes,no,264.7240200546946,3,-1,unknown,no
1605,41.61746987951807,services,2.0,secondary,-2.0,yes,yes,144.0,2,-1,unknown,no
1615,41.61746987951807,management,2.0,tertiary,417.0,yes,no,138.0,1,-1,unknown,no
1629,42.0,blue-collar,2.0,secondary,13.0,yes,no,285.0,1,-1,unknown,no
1630,32.0,management,0.0,tertiary,1.0,yes,no,399.0,4,-1,unknown,no
1646,38.0,technician,1.0,tertiary,2273.0,yes,no,222.0,1,-1,unknown,no
1665,51.0,blue-collar,2.0,secondary,2237.0,yes,no,619.0,1,-1,unknown,yes
1671,41.61746987951807,blue-collar,2.0,primary,624.0,yes,no,163.0,1,-1,unknown,no
1721,60.0,retired,2.0,secondary,262.0,no,no,393.0,4,-1,unknown,no
1732,48.0,management,2.0,primary,191.0,yes,no,413.0,2,-1,unknown,no
1736,40.0,admin.,1.0,secondary,1.0,yes,no,221.0,1,461,success,no
1753,56.0,services,2.0,secondary,83.0,no,no,26.0,11,-1,unknown,no
1760,41.61746987951807,technician,2.0,secondary,1136.7502401536983,yes,no,524.0,1,96,success,yes
1762,41.61746987951807,self-employed,1.0,tertiary,44.0,no,no,310.0,2,96,other,no
1765,32.0,blue-collar,1.0,secondary,2.0,no,no,144.0,2,-1,unknown,no
1773,37.0,unemployed,2.0,unknown,4565.0,no,no,369.0,1,-1,unknown,no
1787,39.0,management,2.0,tertiary,1136.7502401536983,yes,no,46.0,2,-1,unknown,no
1792,54.0,services,2.0,primary,8.0,yes,no,143.0,1,-1,unknown,no
1795,41.61746987951807,admin.,1.0,secondary,283.0,no,no,22.0,12,-1,unknown,no
1797,31.0,technician,1.0,secondary,125.0,no,no,78.0,2,-1,unknown,no
1846,51.0,self-employed,2.0,secondary,95.0,yes,no,264.7240200546946,4,-1,unknown,no
1858,41.61746987951807,blue-collar,2.0,secondary,622.0,yes,no,145.0,1,-1,unknown,no
1868,42.0,management,2.0,primary,-679.0,yes,yes,159.0,1,343,failure,no
1881,36.0,management,2.0,tertiary,27359.0,yes,no,71.0,2,-1,unknown,no
1900,19.0,student,1.0,unknown,1136.7502401536983,no,no,123.0,3,-1,unknown,no
1908,44.0,technician,1.0,secondary,-27.0,yes,yes,100.0,3,-1,unknown,no
1924,44.0,technician,0.0,secondary,-329.0,yes,no,171.0,1,-1,unknown,no
1931,45.0,blue-collar,2.0,secondary,4365.0,no,yes,45.0,2,-1,unknown,no
1948,27.0,technician,1.0,tertiary,383.0,yes,no,244.0,2,-1,unknown,no
1955,46.0,management,0.0,tertiary,-154.0,yes,yes,107.0,2,-1,unknown,no
1962,25.0,unemployed,1.0,tertiary,343.0,no,no,377.0,1,-1,unknown,no
1973,59.0,blue-collar,2.0,unknown,139.0,no,no,153.0,1,-1,unknown,no
1975,50.0,admin.,0.0,secondary,1111.0,yes,no,50.0,1,-1,unknown,no
1989,45.0,blue-collar,2.0,secondary,2926.0,yes,yes,482.0,3,120,failure,yes
1991,37.0,entrepreneur,0.0,tertiary,66.0,no,no,1164.0,2,-1,unknown,yes
1997,41.61746987951807,blue-collar,1.0,secondary,77.0,yes,no,236.0,2,-1,unknown,no
2005,51.0,unemployed,2.0,secondary,-13.0,yes,no,361.0,1,364,failure,no
2022,33.0,management,1.0,tertiary,317.0,no,no,246.0,2,-1,unknown,no
2038,33.0,blue-collar,1.0,secondary,5137.0,yes,no,123.0,1,-1,unknown,no
2039,43.0,management,2.0,tertiary,1344.0,yes,no,36.0,4,-1,unknown,no
2041,73.0,retired,2.0,primary,154.0,no,no,103.0,1,-1,unknown,no
2044,44.0,management,2.0,tertiary,529.0,yes,no,129.0,4,-1,unknown,no
2053,41.61746987951807,technician,1.0,secondary,-46.0,yes,no,23.0,1,-1,unknown,no
2055,48.0,technician,2.0,secondary,568.0,yes,no,264.7240200546946,2,386,success,no
2108,46.0,blue-collar,0.0,primary,452.0,yes,no,113.0,4,-1,unknown,no
2114,33.0,management,2.0,tertiary,1412.0,yes,no,480.0,1,-1,unknown,yes
2118,51.0,blue-collar,2.0,primary,3726.0,no,yes,119.0,12,-1,unknown,no
2120,62.0,retired,0.0,tertiary,1136.7502401536983,no,no,227.0,2,-1,unknown,no
2151,51.0,blue-collar,0.0,primary,62.0,yes,no,347.0,1,284,failure,no
2163,51.0,technician,2.0,secondary,149.0,yes,no,227.0,2,-1,unknown,no
2172,31.0,blue-collar,1.0,primary,-495.0,yes,no,334.0,2,-1,unknown,no
2174,41.61746987951807,services,2.0,secondary,819.0,yes,no,102.0,14,-1,unknown,no
2199,41.61746987951807,admin.,0.0,secondary,148.0,yes,yes,199.0,1,-1,unknown,no
2210,41.61746987951807,entrepreneur,2.0,tertiary,4343.0,no,no,85.0,4,-1,unknown,no
2219,44.0,technician,2.0,secondary,2776.0,yes,no,701.0,1,-1,unknown,yes
2241,41.0,blue-collar,2.0,primary,389.0,yes,no,87.0,6,-1,unknown,no
2245,45.0,technician,2.0,secondary,115.0,yes,no,108.0,1,-1,unknown,no
2257,55.0,blue-collar,2.0,secondary,383.0,no,no,287.0,1,-1,unknown,no
2273,44.0,blue-collar,2.0,primary,-11.0,yes,no,13.0,1,-1,unknown,no
2296,32.0,blue-collar,2.0,secondary,195.0,yes,no,709.0,2,-1,unknown,yes
2307,47.0,management,0.0,tertiary,2515.0,no,no,40.0,3,-1,unknown,no
2321,27.0,services,2.0,secondary,54.0,yes,no,543.0,2,-1,unknown,yes
2354,41.61746987951807,management,1.0,secondary,1136.7502401536983,no,no,132.0,4,-1,unknown,no
2359,36.0,services,1.0,secondary,417.0,yes,no,15.0,10,207,failure,no
2361,37.0,services,0.0,secondary,532.0,yes,no,199.0,1,-1,unknown,no
2369,45.0,entrepreneur,2.0,secondary,68.0,yes,no,254.0,1,-1,unknown,no
2373,28.0,blue-collar,2.0,secondary,8.0,yes,no,196.0,1,-1,unknown,no
2378,39.0,blue-collar,2.0,secondary,1439.0,yes,no,73.0,6,-1,unknown,no
2385,47.0,services,2.0,secondary,3333.0,yes,yes,114.0,2,-1,unknown,no
2386,33.0,technician,2.0,tertiary,16992.0,yes,no,58.0,1,-1,unknown,no
2390,41.61746987951807,retired,1.0,secondary,366.0,no,yes,234.0,2,-1,unknown,no
2403,42.0,technician,2.0,secondary,148.0,yes,no,23.0,2,-1,unknown,no
2409,32.0,admin.,1.0,secondary,1649.0,no,no,204.0,2,-1,unknown,no
2441,36.0,admin.,2.0,secondary,957.0,yes,no,206.0,1,-1,unknown,no
2444,41.61746987951807,management,2.0,secondary,724.0,yes,no,287.0,2,415,failure,no
2457,50.0,unemployed,0.0,secondary,32.0,no,no,282.0,2,-1,unknown,no
2458,47.0,admin.,2.0,secondary,31.0,yes,yes,128.0,6,-1,unknown,no
2471,22.0,student,1.0,secondary,2488.0,no,no,449.0,2,38,other,yes
2487,31.0,unknown,0.0,tertiary,137.0,no,no,385.0,9,-1,unknown,no
2489,55.0,retired,2.0,primary,-966.0,no,yes,264.7240200546946,1,-1,unknown,no
2495,38.0,self-employed,1.0,tertiary,917.0,yes,no,260.0,1,-1,unknown,no
2509,41.0,blue-collar,2.0,primary,1136.7502401536983,yes,no,232.0,3,-1,unknown,no
2518,30.0,technician,1.0,secondary,175.0,no,no,167.0,4,-1,unknown,no
2527,36.0,services,1.0,secondary,398.0,yes,yes,77.0,2,-1,unknown,no
2529,48.0,management,1.0,tertiary,816.0,no,no,125.0,1,111,failure,no
2530,33.0,management,1.0,tertiary,1136.7502401536983,no,no,53.0,4,-1,unknown,no
2538,44.0,management,2.0,secondary,-1746.0,yes,no,218.0,1,-1,unknown,no
2560,44.0,blue-collar,2.0,secondary,171.0,yes,no,143.0,3,357,failure,no
2582,32.0,blue-collar,2.0,secondary,9.0,yes,no,334.0,2,-1,unknown,no
2598,36.0,blue-collar,1.0,primary,367.0,yes,no,217.0,1,221,failure,no
2600,45.0,management,0.0,tertiary,959.0,no,no,74.0,1,-1,unknown,no
2603,26.0,management,1.0,tertiary,-8.0,no,no,402.0,2,-1,unknown,no
2604,57.0,management,2.0,unknown,1136.7502401536983,no,no,585.0,1,-1,unknown,yes
2617,41.0,services,2.0,secondary,171.0,no,no,71.0,9,-1,unknown,no
2625,42.0,blue-collar,2.0,primary,2111.0,yes,no,86.0,2,-1,unknown,no
2628,31.0,blue-collar,0.0,secondary,-452.0,yes,no,182.0,5,-1,unknown,no
2643,56.0,retired,0.0,secondary,212.0,no,yes,27.0,1,-1,unknown,no
2660,32.0,unemployed,2.0,secondary,1.0,yes,no,501.0,4,-1,unknown,yes
2670,46.0,admin.,2.0,secondary,1136.7502401536983,yes,yes,239.0,2,259,failure,no
2672,39.0,services,2.0,secondary,-54.0,no,no,29.0,1,-1,unknown,no
2696,55.0,management,0.0,tertiary,9756.0,yes,no,103.0,2,95,other,no
2698,41.61746987951807,management,2.0,tertiary,697.0,no,no,166.0,1,-1,unknown,no
2723,41.61746987951807,technician,1.0,tertiary,9851.0,yes,no,264.7240200546946,5,-1,unknown,no
2726,31.0,management,2.0,secondary,1368.0,yes,no,129.0,4,-1,unknown,no
2735,47.0,entrepreneur,2.0,tertiary,459.0,yes,no,189.0,4,-1,unknown,no
2743,41.61746987951807,technician,2.0,secondary,167.0,no,yes,179.0,6,-1,unknown,no
2745,41.61746987951807,management,2.0,tertiary,1657.0,yes,no,566.0,2,356,failure,yes
2753,41.61746987951807,management,2.0,tertiary,133.0,yes,no,264.7240200546946,1,-1,unknown,no
2761,41.61746987951807,blue-collar,0.0,secondary,1136.7502401536983,yes,no,477.0,1,-1,unknown,yes
2765,41.61746987951807,retired,2.0,secondary,695.0,yes,yes,410.0,5,-1,unknown,no
2768,54.0,services,2.0,secondary,88.0,yes,no,190.0,1,-1,unknown,no
2785,41.0,technician,2.0,secondary,92.0,no,no,35.0,6,-1,unknown,no
2794,44.0,blue-collar,2.0,secondary,191.0,yes,no,41.0,1,-1,unknown,no
2798,36.0,blue-collar,2.0,secondary,141.0,yes,no,106.0,3,-1,unknown,no
2799,43.0,management,2.0,tertiary,2886.0,no,no,230.0,1,-1,unknown,no
2811,44.0,blue-collar,2.0,primary,134.0,yes,no,378.0,1,-1,unknown,no
2820,41.61746987951807,management,2.0,tertiary,1116.0,yes,no,53.0,5,-1,unknown,no
2835,37.0,management,2.0,tertiary,489.0,yes,no,205.0,5,-1,unknown,no
2837,43.0,blue-collar,2.0,secondary,699.0,yes,yes,1258.0,2,122,other,yes
2841,32.0,technician,1.0,tertiary,741.0,yes,no,238.0,1,-1,unknown,no
2844,46.0,admin.,2.0,secondary,12.0,yes,no,20.0,11,-1,unknown,no
2853,33.0,technician,2.0,secondary,935.0,yes,no,407.0,2,-1,unknown,no
2866,36.0,admin.,2.0,secondary,1136.7502401536983,yes,yes,101.0,2,-1,unknown,no
2869,49.0,services,2.0,secondary,28.0,yes,no,162.0,3,-1,unknown,no
2896,80.0,retired,2.0,primary,1548.0,no,no,331.0,2,-1,unknown,no
2916,32.0,admin.,1.0,secondary,1218.0,yes,no,149.0,2,-1,unknown,no
2926,33.0,blue-collar,2.0,tertiary,1465.0,no,no,98.0,4,-1,unknown,no
2946,45.0,admin.,2.0,secondary,-388.0,yes,no,175.0,2,-1,unknown,no
2947,40.0,self-employed,2.0,tertiary,163.0,no,no,279.0,1,-1,unknown,no
2954,51.0,services,2.0,secondary,1136.7502401536983,no,yes,565.0,3,-1,unknown,yes
2965,41.61746987951807,blue-collar,2.0,primary,3587.0,yes,no,148.0,4,-1,unknown,no
2975,48.0,technician,1.0,tertiary,-551.0,yes,no,168.0,2,-1,unknown,no
2983,41.61746987951807,retired,2.0,secondary,1278.0,yes,no,174.0,3,-1,unknown,no
2989,42.0,entrepreneur,2.0,tertiary,4245.0,yes,no,205.0,2,-1,unknown,no
3012,36.0,services,2.0,secondary,-11.0,yes,no,172.0,28,-1,unknown,no
3013,49.0,technician,2.0,tertiary,523.0,yes,no,152.0,2,-1,unknown,no
3027,40.0,management,2.0,tertiary,1136.7502401536983,no,no,147.0,1,96,success,no
3035,55.0,unemployed,2.0,tertiary,489.0,yes,no,223.0,2,186,other,no
3038,49.0,services,2.0,secondary,221.0,yes,no,233.0,3,-1,unknown,no
3043,40.0,blue-collar,2.0,primary,1397.0,yes,no,58.0,2,334,failure,no
3045,41.61746987951807,technician,2.0,tertiary,3177.0,no,no,92.0,2,-1,unknown,no
3056,23.0,services,1.0,secondary,5.0,yes,no,111.0,3,-1,unknown,no
3064,43.0,management,1.0,tertiary,1696.0,yes,no,257.0,1,474,failure,no
3092,46.0,management,2.0,tertiary,523.0,yes,no,105.0,4,366,failure,no
3109,41.61746987951807,management,1.0,tertiary,1136.7502401536983,no,yes,370.0,4,-1,unknown,no
3137,42.0,blue-collar,2.0,secondary,368.0,yes,yes,429.0,2,-1,unknown,no
3146,32.0,housemaid,2.0,tertiary,357.0,yes,no,175.0,2,-1,unknown,no
3150,41.61746987951807,technician,2.0,secondary,9146.0,no,no,136.0,4,-1,unknown,no
3156,23.0,admin.,1.0,secondary,589.0,yes,no,62.0,1,-1,unknown,no
3161,41.61746987951807,technician,2.0,secondary,556.0,yes,no,460.0,2,-1,unknown,yes
3171,28.0,blue-collar,1.0,primary,1199.0,yes,no,1011.0,20,-1,unknown,yes
3175,38.0,admin.,0.0,secondary,156.0,yes,no,544.0,3,-1,unknown,yes
3193,41.61746987951807,retired,0.0,primary,86.0,no,no,192.0,1,-1,unknown,no
3200,41.61746987951807,student,1.0,unknown,3298.0,yes,no,227.0,1,-1,unknown,no
3215,40.0,technician,2.0,secondary,99.0,yes,no,252.0,3,-1,unknown,no
3234,39.0,management,1.0,tertiary,3797.0,no,no,96.0,2,-1,unknown,no
3256,36.0,management,2.0,tertiary,495.0,no,no,213.0,3,182,success,no
3272,44.0,services,1.0,secondary,545.0,yes,no,20.0,6,175,other,no
3283,45.0,blue-collar,2.0,primary,2128.0,yes,no,149.0,4,-1,unknown,no
3313,36.0,services,2.0,primary,179.0,no,no,411.0,1,-1,unknown,no
3334,46.0,unemployed,0.0,primary,23.0,no,no,344.0,1,-1,unknown,no
3359,25.0,unemployed,1.0,secondary,34.0,yes,yes,316.0,1,-1,unknown,no
3367,27.0,admin.,2.0,secondary,897.0,no,no,397.0,1,-1,unknown,no
3406,41.61746987951807,admin.,1.0,secondary,926.0,yes,yes,191.0,1,-1,unknown,no
3446,38.0,services,2.0,secondary,8876.0,no,no,280.0,1,75,failure,no
3455,33.0,technician,0.0,secondary,-35.0,no,yes,109.0,1,-1,unknown,no
